scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,sample_stride,corresponding_points,mean_3d_error_m,median_3d_error_m,rmse_3d_error_m,p95_3d_error_m,distortion_correction,world_transform
2025/Day001_Wheat,2025,Day001,wheat,182.JPG,182,DJI Mavic 3M RGB camera,oblique,oblique,0.7033511780111273,5280,3956,182_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\182.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\182_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/182.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/182_depth.tif,main,32,20456,18.310946982937185,15.079401578070058,20.037726745787886,35.72500373158871,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,240.JPG,240,DJI Mavic 3M RGB camera,oblique,oblique,0.7075718208125407,5280,3956,240_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\240.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\240_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/240.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/240_depth.tif,main,32,19997,17.41410589184526,15.349283123508549,18.444155819949806,30.608483251969965,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,298.JPG,298,DJI Mavic 3M RGB camera,oblique,oblique,0.7061234622354156,5280,3956,298_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\298.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\298_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/298.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/298_depth.tif,main,32,20460,19.47766874315353,15.962029783255527,21.092280198926744,37.48269267931507,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,357.JPG,357,DJI Mavic 3M RGB camera,oblique,oblique,0.704063446389367,5280,3956,357_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\357.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\357_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/357.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/357_depth.tif,main,32,20455,16.80402706428999,14.325663279899816,17.956002762521855,30.04682716828805,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,415.JPG,415,DJI Mavic 3M RGB camera,oblique,oblique,0.7052316183673132,5280,3956,415_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\415.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\415_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/415.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/415_depth.tif,main,32,20456,19.073476591663137,15.693066703050711,20.934024836656228,38.002334739953916,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,674.JPG,674,DJI Mavic 3M RGB camera,oblique,oblique,0.7082393071015787,5280,3956,674_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\674.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\674_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/674.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/674_depth.tif,main,32,20432,20.393805873387876,17.217421466698923,22.13859220117062,38.2071096344433,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,732.JPG,732,DJI Mavic 3M RGB camera,oblique,oblique,0.7073450723867275,5280,3956,732_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\732.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\732_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/732.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/732_depth.tif,main,32,20460,20.20884899178383,17.35146440864338,21.68512579368017,35.85977751486185,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,791.JPG,791,DJI Mavic 3M RGB camera,oblique,oblique,0.7057398871009861,5280,3956,791_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\791.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\791_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/791.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/791_depth.tif,main,32,20448,18.67038000955734,16.97002155028099,19.627233488143922,30.05736677670998,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,849.JPG,849,DJI Mavic 3M RGB camera,oblique,oblique,0.7076058666729741,5280,3956,849_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\849.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\849_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/849.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/849_depth.tif,main,32,20460,20.295739241446604,16.896612153401495,22.213785228699862,40.02072937186584,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,908.JPG,908,DJI Mavic 3M RGB camera,oblique,oblique,0.7081770834942197,5280,3956,908_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\908.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\908_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/908.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/908_depth.tif,main,32,20393,18.25354340211272,15.449668903512505,19.66908646116453,33.19105143673753,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
